,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category,CH_Latitude,CH_Longitude,Distance
240180,01788.2*A,Lompoc,California,Lompoc,34.665619444444445,-120.46750277777778,Reliever,34.660758,-120.452355,0.9245811865315114
240181,01788.2*A,Lompoc,California,Lompoc,34.665619444444445,-120.46750277777778,Reliever,34.660758,-120.452355,0.9245811865315114
244424,01794.*A,Long Beach /Daugherty Fld/,California,Long Beach,33.817930555555556,-118.15189166666667,Small,33.806189,-118.158713,0.9013405065611351
244472,01794.*A,Long Beach /Daugherty Fld/,California,Long Beach,33.817930555555556,-118.15189166666667,Small,33.81033131459334,-118.1629291607132,0.8233619115922839
245382,01794.*A,Long Beach /Daugherty Fld/,California,Long Beach,33.817930555555556,-118.15189166666667,Small,33.806189,-118.158713,0.9013405065611351
249044,01818.*A,Los Angeles Intl,California,Los Angeles,33.94249722222222,-118.40804722222222,Large,33.941974,-118.420055,0.6896238941079259
255596,01853.*A,Madera Muni,California,Madera,36.9886,-120.11245,Reliever,36.99628,-120.097911,0.9624894753403387
263781,01376.1*A,Mc Clellan-Palomar,California,Carlsbad,33.12825,-117.28008333333334,Reliever,33.133883,-117.264644,0.9749790956207413
275464,01971.*A,Metro Oakland Intl,California,Oakland,37.721250000000005,-122.22113888888889,Medium,37.73137,-122.212097,0.8566852042252708
280776,01899.*A,Mojave Air And Space Port,California,Mojave,35.05894444444444,-118.15061111111112,Reliever,35.055211,-118.158485,0.5149415493038946
281589,01899.*A,Mojave Air And Space Port,California,Mojave,35.05894444444444,-118.15061111111112,Reliever,35.045355,-118.155994,0.9876298266909711
281970,01899.*A,Mojave Air And Space Port,California,Mojave,35.05894444444444,-118.15061111111112,Reliever,35.056735,-118.157836,0.4364564633828852
285297,02166.*A,Montgomery-Gibbs Exec,California,San Diego,32.81572222222222,-117.13955555555556,Reliever,32.814162,-117.151942,0.7276992685472765
285533,02166.*A,Montgomery-Gibbs Exec,California,San Diego,32.81572222222222,-117.13955555555556,Reliever,32.8224,-117.14836,0.6890394644657013
285849,02166.*A,Montgomery-Gibbs Exec,California,San Diego,32.81572222222222,-117.13955555555556,Reliever,32.81659,-117.15522,0.9120777822602631
287846,01560.*A,Murray Fld,California,Eureka,40.80338888888889,-124.11280555555555,Reliever,40.803696,-124.130362,0.9189768589447672
301680,02204.*A,Norman Y Mineta San Jose Intl,California,San Jose,37.362994444444446,-121.92861944444445,Medium,37.372516,-121.932717,0.6956844614451171
302066,02204.*A,Norman Y Mineta San Jose Intl,California,San Jose,37.362994444444446,-121.92861944444445,Medium,37.37326,-121.918838,0.8902107058156891
305111,02389.1*A,Nut Tree,California,Vacaville,38.37822222222222,-121.96119444444444,Reliever,38.3666,-121.9581,0.8207911461177587
305310,02389.1*A,Nut Tree,California,Vacaville,38.37822222222222,-121.96119444444444,Reliever,38.366653,-121.95586,0.8504628082607428
305395,02389.1*A,Nut Tree,California,Vacaville,38.37822222222222,-121.96119444444444,Reliever,38.367307,-121.956854,0.7904160759454372
305660,02389.1*A,Nut Tree,California,Vacaville,38.37822222222222,-121.96119444444444,Reliever,38.369802,-121.954516,0.6854689800317406
306149,02389.1*A,Nut Tree,California,Vacaville,38.37822222222222,-121.96119444444444,Reliever,38.364793,-121.96797,0.9983887753742218
306150,02389.1*A,Nut Tree,California,Vacaville,38.37822222222222,-121.96119444444444,Reliever,38.36486,-121.968013,0.994946348382384
311467,01986.*A,Ontario Intl,California,Ontario,34.056013888888884,-117.60118888888888,Medium,34.063139,-117.61148,0.7681340658003266
311475,01986.*A,Ontario Intl,California,Ontario,34.056013888888884,-117.60118888888888,Medium,34.063139,-117.61148,0.7681340658003266
311741,01986.*A,Ontario Intl,California,Ontario,34.056013888888884,-117.60118888888888,Medium,34.063139,-117.61148,0.7681340658003266
311773,01986.*A,Ontario Intl,California,Ontario,34.056013888888884,-117.60118888888888,Medium,34.063139,-117.61148,0.7681340658003266
312509,01986.*A,Ontario Intl,California,Ontario,34.056013888888884,-117.60118888888888,Medium,34.063139,-117.61148,0.7681340658003266
312547,01986.*A,Ontario Intl,California,Ontario,34.056013888888884,-117.60118888888888,Medium,34.067355,-117.606918,0.849928198549106
313257,01986.*A,Ontario Intl,California,Ontario,34.056013888888884,-117.60118888888888,Medium,34.063302,-117.611533,0.7777178230618166
318233,02017.*A,Palm Springs Intl,California,Palm Springs,33.82966666666667,-116.50669444444445,Small,33.823151,-116.508135,0.45797876351283134
318960,02017.*A,Palm Springs Intl,California,Palm Springs,33.82966666666667,-116.50669444444445,Small,33.832874,-116.515053,0.5287450652125227
351861,02112.*A,Riverside Muni,California,Riverside,33.951888888888895,-117.44511111111112,Reliever,33.96068,-117.454372,0.8070762004384889
375443,02160.1*A,San Carlos,California,San Carlos,37.51186111111111,-122.24953055555555,Reliever,37.51689164917228,-122.2624653462799,0.7899624325368896
376404,02160.1*A,San Carlos,California,San Carlos,37.51186111111111,-122.24953055555555,Reliever,37.5036,-122.2618505,0.8846760484091202
376675,02160.1*A,San Carlos,California,San Carlos,37.51186111111111,-122.24953055555555,Reliever,37.503,-122.2454,0.6531312648468778
378200,02170.*A,San Diego Intl,California,San Diego,32.733555555555554,-117.18966666666667,Large,32.74065,-117.187,0.5143876377190058
378294,02170.*A,San Diego Intl,California,San Diego,32.733555555555554,-117.18966666666667,Large,32.73943,-117.177482,0.8166942203808101
378335,02170.*A,San Diego Intl,California,San Diego,32.733555555555554,-117.18966666666667,Large,32.740808,-117.180829,0.717982442260569
379769,02170.*A,San Diego Intl,California,San Diego,32.733555555555554,-117.18966666666667,Large,32.743182,-117.181951,0.80261852914209
380175,02170.*A,San Diego Intl,California,San Diego,32.733555555555554,-117.18966666666667,Large,32.727118,-117.181894,0.6343442738218015
382671,01539.*A,San Gabriel Valley,California,El Monte,34.08600833333334,-118.03484444444445,Reliever,34.074496,-118.030858,0.8279625776042762
383610,01539.*A,San Gabriel Valley,California,El Monte,34.08600833333334,-118.03484444444445,Reliever,34.077834,-118.039828,0.6330684146053209
385935,02211.*A,San Luis County Rgnl,California,San Luis Obispo,35.23727777777778,-120.64261111111112,Non-Hub,35.250038,-120.641541,0.8842126409796237
425407,02341.*A,Tehachapi Muni,California,Tehachapi,35.134994444444445,-118.4393,Reliever,35.1422,-118.448906,0.7369267734651598
425408,02341.*A,Tehachapi Muni,California,Tehachapi,35.134994444444445,-118.4393,Reliever,35.142173,-118.448948,0.7374209100387357
443034,02383.*A,Ukiah Muni,California,Ukiah,39.12594444444444,-123.20086111111111,Reliever,39.138885,-123.202645,0.8997129003128074
447053,02396.*A,Van Nuys,California,Van Nuys,34.20980555555556,-118.48997222222222,Reliever,34.209219,-118.496403,0.3698878541597895
447496,02396.*A,Van Nuys,California,Van Nuys,34.20980555555556,-118.48997222222222,Reliever,34.220778,-118.486698,0.78130539703281
451046,02413.*A,Visalia Muni,California,Visalia,36.31863888888889,-119.39286111111112,Reliever,36.325354,-119.391607,0.4694585034859352
462807,01818.1*A,Whiteman,California,Los Angeles,34.259325,-118.41343333333334,Reliever,34.247415,-118.405835,0.9308329659299823
467687,02461.*A,Willows-Glenn County,California,Willows,39.51575555555556,-122.217275,Reliever,39.525492,-122.218593,0.6767644687184688
467698,02461.*A,Willows-Glenn County,California,Willows,39.51575555555556,-122.217275,Reliever,39.523225,-122.2118055,0.593068108033829
477024,02356.1*A,Zamperini Fld,California,Torrance,33.80338333333333,-118.33960833333333,Reliever,33.790224,-118.341224,0.9144604616538293
477440,02356.1*A,Zamperini Fld,California,Torrance,33.80338333333333,-118.33960833333333,Reliever,33.804529,-118.353365,0.7942159214952722
477596,02356.1*A,Zamperini Fld,California,Torrance,33.80338333333333,-118.33960833333333,Reliever,33.799112,-118.351562,0.747501234753291
