,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category
3269,22899.*A,Lovell Fld,Tennessee,Chattanooga,35.03519444444444,-85.20355555555555,Small
3270,23029.5*A,Marion County-Brown Fld,Tennessee,Jasper,35.06066666666666,-85.58530555555555,Reliever
3271,22941.1*A,Mark Anton,Tennessee,Dayton,35.48625,-84.93108333333333,Reliever
3272,22925.*A,Martin Campbell Fld,Tennessee,Copperhill,35.01580555555555,-84.34683333333332,Reliever
3273,22919.6*A,Maury County,Tennessee,Columbia/Mount Pleasant,35.55438888888889,-87.1791388888889,Reliever
3274,23046.*A,Mc Ghee Tyson,Tennessee,Knoxville,35.809374999999996,-83.99532222222223,Small
3275,23023.*A,Mc Kellar-Sipes Rgnl,Tennessee,Jackson,35.59988888888889,-88.91561111111112,Reliever
3276,22862.*A,Mcminn County,Tennessee,Athens,35.39919444444445,-84.56177777777778,Reliever
3277,23097.*A,Memphis Intl,Tennessee,Memphis,35.04241111111111,-89.97668055555556,Small
3278,23103.02*A,Millington-Memphis,Tennessee,Millington,35.35663888888889,-89.87041666666666,Reliever
3279,23084.5*A,Monroe County,Tennessee,Madisonville,35.545230555555555,-84.3804,Reliever
3280,23109.1*A,Moore-Murrell,Tennessee,Morristown,36.17938888888889,-83.37544444444444,Reliever
3281,23118.2*A,Murfreesboro Muni,Tennessee,Murfreesboro,35.878658333333334,-86.37746944444444,Reliever
3282,22977.1*A,Music City Exec,Tennessee,Gallatin,36.375080555555556,-86.40841111111112,Reliever
3283,23121.*A,Nashville Intl,Tennessee,Nashville,36.124475000000004,-86.67818055555556,Medium
3284,23221.*A,New Tazewell Muni,Tennessee,Tazewell,36.40889722222222,-83.55718611111111,Reliever
3285,22905.*A,Outlaw Fld,Tennessee,Clarksville,36.62186111111111,-87.41494444444444,Reliever
3286,23154.1*A,Portland Muni,Tennessee,Portland,36.59286111111111,-86.47691666666667,Reliever
3288,23183.6*A,Robert Sibley,Tennessee,Selmer,35.20294444444445,-88.49836111111111,Reliever
3289,23178.1*A,Rockwood Muni,Tennessee,Rockwood,35.922333333333334,-84.68977777777778,Reliever
3290,23180.*A,Savannah-Hardin County,Tennessee,Savannah,35.170249999999996,-88.21672222222223,Reliever
3291,23143.*A,Scott Muni,Tennessee,Oneida,36.45569444444445,-84.58574999999999,Reliever
3292,23187.2*A,Smithville Muni,Tennessee,Smithville,35.98544444444445,-85.80911111111111,Reliever
3293,23189.*A,Smyrna,Tennessee,Smyrna,36.008969444444446,-86.52008888888889,Reliever
3294,23218.1*A,Springfield Robertson County,Tennessee,Springfield,36.53669444444444,-86.92116666666666,Reliever
3295,22884.*A,Tri-Cities,Tennessee,Bristol/Johnson/Kingsport,36.475208333333335,-82.40741666666668,Non-Hub
3296,23233.*A,Tullahoma Rgnl/Wm Northern Fld,Tennessee,Tullahoma,35.38003055555556,-86.24635277777777,Reliever
3297,23216.7*A,Upper Cumberland Rgnl,Tennessee,Sparta,36.05673888888889,-85.53010555555555,Reliever
3298,23083.*A,Warren County Meml,Tennessee,Mc Minnville,35.698699999999995,-85.84381944444443,Reliever
3299,22866.*A,William L Whitehurst Fld,Tennessee,Bolivar,35.215138888888895,-89.04325,Reliever
3300,23250.*A,Winchester Muni,Tennessee,Winchester,35.17753333333333,-86.06616666666666,Reliever
3301,23287.*A,Abilene Rgnl,Texas,Abilene,32.41133333333333,-99.68188888888889,Non-Hub
3302,23710.3*A,Addison,Texas,Dallas,32.96855555555556,-96.83644444444444,Reliever
3305,23305.*A,Alice Intl,Texas,Alice,27.74088888888889,-98.02694444444444,Reliever
